wob,incl,tp,fbit,dtft,ft
30.0,35.0,-0.0,971.3717,45.0,2242.7925
30.0,35.0,-0.5,832.5315,22.5,89.6881
30.0,35.0,-3.4982,-8.6492,22.5,651.2534
30.0,35.0,-3.4673,-0.001,22.5,645.4816
