/Users/rob/Projects/Julia/BHAtp cases/cases/figure_07
WOB: 60, Incl: 60
Dalpha: 0.5
Errors (1): 17.632120608522
Errors (100): 0.03322384220611157
Errors (1000): 0.0013604179402132122
Errors (5000): 1.0084586287810057e-5
Errors (10000): 1.1651599818038443e-6
Errors (15000): 4.875717470885441e-7
Errors (20000): 2.4158588830836975e-7
Errors (25000): 1.4693104143819632e-7
Errors (30000): 1.1401198888835252e-7
Errors (35000): 1.0155872647701963e-7
Errors (35929): 9.999993137430923e-8
