wob,incl,tp,fbit,dtft,ft
40.0,40.0,-0.0,992.3644,22.5,232.4576
40.0,40.0,-0.5,842.6186,22.5,307.5005
40.0,40.0,-3.3135,1.5325,22.5,720.7928
40.0,40.0,-3.3186,0.0008,22.5,721.5419
