depth,dtb,radius,od,incl,hdng,x,y,dx,dy,dz,fx,fy,fz,friction,fn,fs
399.48999999999984,0.0,8.75,6.25,40.0,59.99999999999999,0.0,0.0,-2.5,0.0018,-0.0,0.00396,-0.0,-48.97865,0.0,-39951.02135,0.0
398.48999999999984,1.0,8.75,3.9375,40.00568365050524,59.99999999999999,-0.0005951904888505943,0.0,-2.545,0.0018,-0.0004,-0.0,-0.0,-134.01397,0.0,-39817.00738,0.0
396.6399999999999,2.85,8.75,6.125,40.016198403939924,59.99999999999999,-0.004834434721659531,0.0,-2.625,0.0017,-0.0011,1317.4789,-0.83049,-264.27094,0.0,-39552.73644,0.0
392.73999999999984,6.75,8.75,4.0,40.03836464091035,59.99999999999999,-0.027118365791307608,0.0,-2.7765,0.0014,-0.0026,-0.0,-0.0,-962.49657,0.0,-38590.23986,0.0
378.48499999999984,21.005,8.749999999999998,4.0,40.11938507886251,59.99999999999999,-0.262603935326857,0.0,-2.9738,0.0006,-0.0079,-0.0,-0.0,-1564.75737,0.0,-37025.48249,0.0
364.22999999999985,35.26,8.75,4.0,40.20040551681467,59.99999999999999,-0.7399803560373917,0.0,-2.6599,0.0001,-0.013,-0.0,-0.0,-876.00396,0.0,-36149.47854,0.0
362.45999999999987,37.03,8.75,6.125,40.21046557820894,59.99999999999999,-0.8161367800675096,0.0,-2.625,0.0001,-0.0137,3056.74786,-0.09416,-296.45242,0.0,-35853.02612,0.0
358.67999999999984,40.81,8.75,4.4375,40.231949777118736,59.99999999999999,-0.9912623375992146,0.0,-2.5776,0.0,-0.015,-0.0,-0.0,-371.17771,0.0,-35481.84841,0.0
356.17999999999984,43.31,8.75,4.4375,40.246158903381826,59.99999999999999,-1.1164305343010539,0.0,-2.5613,-0.0,-0.0158,-0.0,-0.0,-757.95478,0.0,-34723.89363,0.0
343.67999999999984,55.81,8.75,4.4375,40.3172045346973,59.99999999999999,-1.8538685796655174,0.0,-2.5583,-0.0002,-0.02,-0.0,-0.0,-1176.07687,0.0,-33547.81677,0.0
331.17999999999984,68.31,8.75,6.125,40.38825016601276,59.99999999999999,-2.7773007905391935,0.0,-2.625,-0.0002,-0.024,2681.73304,0.15912,-1256.13729,0.0,-32291.67948,0.0
316.9499999999999,82.54,8.75,4.4375,40.469128512702284,59.99999999999999,-4.054922095589077,0.0,-2.8538,-0.0001,-0.0284,-0.0,-0.0,-833.95363,0.0,-31457.72584,0.0
314.48999999999984,85.0,8.75,4.4375,40.48311029294517,59.99999999999999,-4.300226080153397,0.0,-2.8724,-0.0001,-0.0291,-0.0,-0.0,-1049.40936,0.0,-30408.31649,0.0
299.64999999999986,99.83999999999999,8.75,4.1565,40.56745566644289,59.99999999999999,-5.93282595819413,0.0,-2.7281,-0.0,-0.0334,-0.0,-0.0,-1764.58731,0.0,-28643.72918,0.0
284.8099999999999,114.67999999999999,8.75,4.1565,40.65180103994061,59.99999999999999,-7.827565320738679,0.0,-2.5877,0.0,-0.0374,-0.0,-0.0,-958.12564,0.0,-27685.60354,0.0
283.35999999999984,116.13,8.75,6.125,40.66004233317321,59.99999999999999,-8.026756049139719,0.0,-2.625,0.0,-0.0378,4694.57009,-0.00793,-275.90623,0.0,-27409.6973,0.0
279.60999999999984,119.88,8.75,4.1565,40.68135602256785,59.99999999999999,-8.553509921407448,0.0,-2.7885,0.0,-0.0387,-0.0,-0.0,-1077.91701,0.0,-26331.7803,0.0
264.7999999999999,134.69,8.75,4.1565,40.76553088655041,59.99999999999999,-10.797426586530968,0.0,-3.8496,0.0,-0.0424,-0.0,-0.0,-1755.79755,0.0,-24575.98275,0.0
249.98999999999987,149.5,8.75,4.1565,40.849705750532976,59.99999999999999,-13.302413444945175,0.0,-4.5935,0.0,-0.0458,556.03633,-0.00325,-1610.70447,0.0,-22965.27828,0.0
234.39071428571415,165.0992857142857,8.75,4.0,40.93836663866432,59.99999999999999,-16.22320661047498,0.0,-4.75,0.0,-0.0491,1922.76826,-0.00682,-1465.87134,0.0,-21499.40694,0.0
218.79142857142844,180.69857142857143,8.75,4.0,41.027027526795656,59.99999999999999,-19.433625487249994,0.0,-4.75,0.0,-0.0522,1318.79657,-0.00203,-1463.90204,0.0,-20035.50489,0.0
203.1921428571427,196.29785714285717,8.75,4.0,41.115688414927,59.99999999999998,-22.93366238785205,-2.7308040300102472e-14,-4.75,0.0,-0.0552,1260.99169,-0.00035,-1461.92924,0.0,-18573.57565,0.0
187.592857142857,211.89714285714285,8.75,4.0,41.20434930305834,59.99999999999999,-26.72330893136639,-5.466453705228511e-14,-4.75,-0.0,-0.0579,1285.01939,0.00036,-1459.95293,0.0,-17113.62272,0.0
171.9935714285713,227.49642857142854,8.75,4.0,41.29301019118968,59.99999999999999,-30.802556043401527,-5.466453705228511e-14,-4.75,-0.0,-0.0604,1287.12163,0.0005,-1457.97313,0.0,-15655.64959,0.0
156.39428571428562,243.09571428571425,8.75,4.0,41.38167107932102,59.99999999999999,-35.171393956111196,-5.466453705228511e-14,-4.75,-0.0,-0.0626,1295.07421,0.00039,-1455.98984,0.0,-14199.65975,0.0
140.79499999999993,258.69499999999994,8.75,4.0,41.47033196745237,59.99999999999999,-39.829812208217525,-5.466453705228511e-14,-4.75,-0.0,-0.0647,1301.46082,0.00022,-1454.00306,0.0,-12745.65668,0.0
125.19571428571423,274.29428571428565,8.75,4.0,41.5589928555837,59.99999999999999,-44.7777996450363,-5.466453705228511e-14,-4.75,-0.0,-0.0666,1308.18962,8.0e-5,-1452.0128,0.0,-11293.64388,0.0
109.59642857142853,289.8935714285713,8.75,4.0,41.64765374371505,59.99999999999999,-50.01534441850349,-5.466453705228511e-14,-4.75,-0.0,-0.0682,1315.0387,1.0e-5,-1450.01906,0.0,-9843.62482,0.0
93.99714285714283,305.492857142857,8.75,4.0,41.73631463184639,59.99999999999999,-55.54243398720375,-5.466453705228511e-14,-4.75,0.0,-0.0696,1320.98945,-2.0e-5,-1448.02185,0.0,-8395.60296,0.0
78.39785714285715,321.09214285714273,8.75,4.0,41.82497551997773,59.99999999999999,-61.35905511640033,-5.466453705228511e-14,-4.75,0.0,-0.0709,1330.33459,-3.0e-5,-1446.02118,0.0,-6949.58179,0.0
62.79857142857145,336.6914285714284,8.75,4.0,41.91363640810907,59.99999999999999,-67.46519387806691,-5.466453705228511e-14,-4.75,0.0,-0.0719,1326.93262,-2.0e-5,-1444.01704,0.0,-5505.56475,0.0
47.19928571428576,352.2907142857141,8.75,4.0,42.002297296240414,59.99999999999999,-73.86083565092082,-5.466453705228511e-14,-4.75,0.0,-0.0727,1371.01563,-1.0e-5,-1442.00944,0.0,-4063.5553,0.0
31.600000000000062,367.8899999999998,8.75,4.0,42.09095818437175,59.99999999999999,-80.54596512045815,-5.466453705228511e-14,-4.75,0.0,-0.0733,1248.13568,-0.0,-1449.26254,0.0,-2614.29276,0.0
15.800000000000031,383.6899999999998,8.75,4.0,42.180759862354506,59.99999999999999,-87.61219390958927,-5.466453705228511e-14,-4.75,0.0,-0.0737,1775.38213,-0.0,-1456.46,0.0,-1157.83276,0.0
0.0,399.48999999999984,8.75,4.0,42.270561540337255,59.99999999999999,-94.97537415298241,-5.466453705228511e-14,-4.75,-0.0,-0.0738,371.42886,1.0e-5,-1157.83276,0.0,-430.6379,0.0
