wob,incl,tp,fbit,dtft,ft
40.0,20.0,-0.0,578.1886,45.0,1297.8028
40.0,20.0,-0.5,455.4841,45.0,1269.4537
40.0,20.0,-2.356,-0.0084,45.0,1163.9587
