wob,incl,tp,fbit,dtft,ft
40.0,30.0,-0.0,839.0932,45.0,1963.0125
40.0,30.0,-0.5,716.008,45.0,1932.0597
40.0,30.0,-3.4086,-149.9657,22.5,425.0527
40.0,30.0,-2.9049,0.4515,22.5,350.1516
