depth,dtb,radius,od,incl,hdng,x,y,dx,dy,dz,fx,fy,fz,friction,fn,fs
264.99999999999994,0.0,4.5,4.5,50.0,59.99999999999999,0.0,0.0,0.0,0.0,-0.0,1182.65395,0.0,-330.23372,0.0,-19669.76628,0.0
253.74999999999997,11.25,4.5,3.5,50.0,59.99999999999999,0.0,0.0,-0.7768,-0.0,-0.0028,-0.0,-0.0,-660.46744,0.0,-19009.29885,0.0
242.49999999999997,22.5,4.5,3.5,50.0,59.99999999999999,0.0,0.0,-1.0,-0.0,-0.0055,328.03923,0.0,-660.46744,0.0,-18348.83141,0.0
231.24999999999997,33.75,4.5,3.5,50.0,59.99999999999999,0.0,0.0,-0.6056,-0.0,-0.0082,-0.0,-0.0,-660.46744,0.0,-17688.36397,0.0
219.99999999999997,45.0,4.5,4.5,50.0,59.99999999999999,0.0,0.0,0.0,0.0,-0.0107,2744.17179,-0.0,-623.7748,0.0,-17064.58917,0.0
209.99999999999997,55.0,4.5,3.5,50.0,59.99999999999999,0.0,0.0,0.1921,0.0,-0.0129,-0.0,-0.0,-587.08217,0.0,-16477.507,0.0
199.99999999999997,65.0,4.5,3.5,50.0,59.99999999999999,0.0,0.0,0.1823,0.0,-0.015,-0.0,-0.0,-587.08217,0.0,-15890.42484,0.0
189.99999999999997,75.0,4.5,4.5,50.0,60.00000000000001,0.0,2.041152428728429e-14,0.0,0.0,-0.017,2404.71533,-0.0,-670.95105,0.0,-15219.47379,0.0
177.1428571428571,87.85714285714285,4.5,3.5,50.0,59.99999999999999,0.0,4.6654912656649794e-14,-0.6162,-0.0,-0.0195,-0.0,-0.0,-754.81993,0.0,-14464.65386,0.0
164.28571428571425,100.71428571428571,4.5,3.5,50.0,59.99999999999999,0.0,4.6654912656649794e-14,-1.0,-0.0,-0.0218,251.23431,0.0,-754.81993,0.0,-13709.83394,0.0
151.42857142857142,113.57142857142856,4.5,3.5,50.0,59.99999999999999,0.0,4.6654912656649794e-14,-1.0,-0.0,-0.0241,1619.31775,0.0,-754.81993,0.0,-12955.01401,0.0
138.57142857142856,126.4285714285714,4.5,3.5,50.0,59.99999999999999,0.0,4.6654912656649794e-14,-1.0,0.0,-0.0262,1279.50644,-0.0,-754.81993,0.0,-12200.19408,0.0
125.71428571428571,139.28571428571425,4.5,3.5,50.0,59.99999999999999,0.0,4.6654912656649794e-14,-0.9163,0.0,-0.0282,-0.0,-0.0,-754.81993,0.0,-11445.37415,0.0
112.85714285714285,152.1428571428571,4.5,3.5,50.0,59.99999999999999,0.0,4.6654912656649794e-14,-0.4316,0.0,-0.03,-0.0,-0.0,-754.81993,0.0,-10690.55423,0.0
100.0,164.99999999999997,4.5,4.5,50.0,59.99999999999999,0.0,4.6654912656649794e-14,0.0,0.0,-0.0318,3459.73484,-0.0,-744.33632,0.0,-9946.21791,0.0
87.5,177.49999999999997,4.5,3.5,50.0,59.99999999999999,0.0,4.6654912656649794e-14,-0.4007,-0.0,-0.0334,-0.0,-0.0,-733.85271,0.0,-9212.3652,0.0
75.0,189.99999999999997,4.5,3.5,50.0,59.99999999999999,0.0,4.6654912656649794e-14,-0.881,-0.0,-0.0348,-0.0,-0.0,-733.85271,0.0,-8478.5125,0.0
62.5,202.49999999999997,4.5,3.5,50.0,59.99999999999999,0.0,4.6654912656649794e-14,-1.0,-0.0,-0.0362,1267.80469,0.0,-733.85271,0.0,-7744.65979,0.0
50.0,214.99999999999997,4.5,3.5,50.0,59.99999999999999,0.0,4.6654912656649794e-14,-1.0,-0.0,-0.0374,960.99515,0.0,-733.85271,0.0,-7010.80708,0.0
37.5,227.49999999999997,4.5,3.5,50.0,59.99999999999999,0.0,4.6654912656649794e-14,-1.0,0.0,-0.0385,851.43194,-0.0,-733.85271,0.0,-6276.95437,0.0
25.0,239.99999999999997,4.5,3.5,50.0,59.99999999999999,0.0,4.6654912656649794e-14,-1.0,0.0,-0.0395,880.73965,-0.0,-733.85271,0.0,-5543.10167,0.0
12.5,252.49999999999997,4.5,3.5,50.0,59.99999999999999,0.0,4.6654912656649794e-14,-1.0,0.0,-0.0404,873.0302,-0.0,-733.85271,0.0,-4809.24896,0.0
0.0,264.99999999999994,4.5,3.5,50.0,59.99999999999999,0.0,4.6654912656649794e-14,-1.0,0.0,-0.0412,437.54261,-0.0,-4809.24896,0.0,-4442.32261,0.0
