wob,incl,tp,fbit,dtft,ft
30.0,35.0,-0.0,-13681.8996,5.68,19329.2339
30.0,35.0,0.5,-12433.8462,5.68,18148.4609
30.0,35.0,5.4813,10.0171,5.68,6365.7042
30.0,35.0,5.4773,-0.0103,5.68,6375.2082
