wob,incl,tp,fbit,dtft,ft
20.0,20.0,-0.0,590.442,45.0,1262.9138
20.0,20.0,-0.5,501.683,45.0,1308.7954
20.0,20.0,-3.3261,-59.5919,22.5,161.9598
20.0,20.0,-3.026,19.0556,22.5,92.958
20.0,20.0,-3.0987,-0.0002,22.5,109.6765
