depth,dtb,radius,od,incl,hdng,x,y,dx,dy,dz,fx,fy,fz,friction,fn,fs
264.99999999999994,0.0,4.5,4.5,14.999999999999998,59.99999999999999,0.0,0.0,0.0,0.0,-0.0,0.03474,0.0,-496.24677,0.0,-19503.75323,0.0
253.74999999999997,11.25,4.5,3.5,15.28576637870079,59.99999999999999,-0.336660234542778,0.0,-0.7587,-0.0,-0.0028,-0.0,-0.0,-991.15483,0.0,-18512.5984,0.0
242.49999999999997,22.5,4.5,3.5,15.571532757401583,59.99999999999999,-1.3466325634969405,0.0,-0.8593,-0.0,-0.0054,-0.0,-0.0,-989.79145,0.0,-17522.80695,0.0
231.24999999999997,33.75,4.5,3.5,15.857299136102375,59.99999999999999,-3.029891863048298,0.0,-0.4835,-0.0,-0.0079,-0.0,-0.0,-988.40345,0.0,-16534.4035,0.0
219.99999999999997,45.0,4.5,4.5,16.14306551480317,59.99999999999999,-5.386396260867603,0.0,0.0,0.0,-0.0103,1157.77221,-0.0,-932.15804,0.0,-15602.24546,0.0
209.99999999999997,55.0,4.5,3.5,16.39708007364832,59.99999999999999,-8.046212660957487,0.0,0.1943,0.0,-0.0123,-0.0,-0.0,-876.19077,0.0,-14726.05469,0.0
199.99999999999997,65.0,4.5,3.5,16.651094632493468,59.99999999999999,-11.237877325710018,0.0,0.1841,0.0,-0.0142,-0.0,-0.0,-875.03911,0.0,-13851.01558,0.0
189.99999999999997,75.0,4.5,4.5,16.905109191338617,60.00000000000001,-14.961327523217104,7.691604535351593e-15,0.0,0.0,-0.0159,872.1301,0.0,-998.70886,0.0,-12852.30672,0.0
177.1428571428571,87.85714285714285,4.5,3.5,17.231699338425237,59.99999999999999,-20.52990378399674,1.7746871173011884e-14,-0.4703,-0.0,-0.018,-0.0,-0.0,-1121.58282,0.0,-11730.7239,0.0
164.28571428571425,100.71428571428571,4.5,3.5,17.558289485511853,59.99999999999999,-26.97725171360448,1.7746871173011884e-14,-0.8559,-0.0,-0.0199,-0.0,-0.0,-1119.58174,0.0,-10611.14215,0.0
151.42857142857142,113.57142857142856,4.5,3.5,17.884879632598473,59.99999999999999,-34.30316183288047,1.7746871173011884e-14,-1.0,-0.0,-0.0217,747.77485,0.0,-1117.54428,0.0,-9493.59787,0.0
138.57142857142856,126.4285714285714,4.5,3.5,18.211469779685093,59.99999999999999,-42.507396117521736,1.7746871173011884e-14,-1.0,0.0,-0.0232,269.22819,-0.0,-1115.47051,0.0,-8378.12736,0.0
125.71428571428571,139.28571428571425,4.5,3.5,18.538059926771712,59.99999999999999,-51.58968800581577,1.7746871173011884e-14,-0.7652,0.0,-0.0246,-0.0,-0.0,-1113.3605,0.0,-7264.76685,0.0
112.85714285714285,152.1428571428571,4.5,3.5,18.864650073858332,59.99999999999999,-61.54974240730134,1.7746871173011884e-14,-0.2993,0.0,-0.0258,-0.0,-0.0,-1111.21432,0.0,-6153.55253,0.0
100.0,164.99999999999997,4.5,4.5,19.19124022094495,59.99999999999999,-72.38723571235617,1.7746871173011884e-14,0.0,0.0,-0.0268,1997.34526,-0.0,-1093.62881,0.0,-5059.92373,0.0
87.5,177.49999999999997,4.5,3.5,19.508758419501387,59.99999999999999,-83.76456989148525,1.7746871173011884e-14,-0.3313,-0.0,-0.0276,-0.0,-0.0,-1076.12926,0.0,-3983.79447,0.0
75.0,189.99999999999997,4.5,3.5,19.82627661805782,59.99999999999999,-95.97059123144416,1.7746871173011884e-14,-0.7917,-0.0,-0.0282,-0.0,-0.0,-1073.99989,0.0,-2909.79457,0.0
62.5,202.49999999999997,4.5,3.5,20.143794816614253,59.99999999999999,-109.00492487577897,1.7746871173011884e-14,-1.0,-0.0,-0.0287,260.79913,0.0,-1071.83754,0.0,-1837.95704,0.0
50.0,214.99999999999997,4.5,3.5,20.46131301517069,59.99999999999999,-122.86717052991767,1.7746871173011884e-14,-1.0,-0.0,-0.029,860.5061,0.0,-1069.64227,0.0,-768.31477,0.0
37.5,227.49999999999997,4.5,3.5,20.778831213727123,59.99999999999999,-137.55690247346334,1.7746871173011884e-14,-1.0,-0.0,-0.0291,500.4818,0.0,-1067.41415,0.0,299.09938,0.0
25.0,239.99999999999997,4.5,3.5,21.09634941228356,59.99999999999999,-153.07366957326857,1.7746871173011884e-14,-1.0,-0.0,-0.0291,205.28341,0.0,-1065.15325,0.0,1364.25262,0.0
12.5,252.49999999999997,4.5,3.5,21.413867610839993,59.99999999999999,-169.41699529728993,1.7746871173011884e-14,-1.0,0.0,-0.0288,1849.4719,-0.0,-1062.85963,0.0,2427.11225,0.0
0.0,264.99999999999994,4.5,3.5,21.73138580939643,59.99999999999999,-186.5863777292228,1.7746871173011884e-14,-1.0,0.0,-0.0285,-760.68568,-0.0,2427.11225,0.0,2957.37894,0.0
