depth,dtb,radius,od,incl,hdng,x,y,dx,dy,dz,fx,fy,fz,friction,fn,fs
264.99999999999994,0.0,4.5,4.5,40.0,59.99999999999999,0.0,0.0,0.0,0.0,-0.0,1073.84195,0.0,-393.55722,0.0,-19606.44278,0.0
253.74999999999997,11.25,4.5,3.5,40.0,59.99999999999999,0.0,0.0,-0.7674,-0.0,-0.0028,-0.0,-0.0,-787.11444,0.0,-18819.32834,0.0
242.49999999999997,22.5,4.5,3.5,40.0,59.99999999999999,0.0,0.0,-1.0,-0.0,-0.0055,64.44373,0.0,-787.11444,0.0,-18032.2139,0.0
231.24999999999997,33.75,4.5,3.5,40.0,59.99999999999999,0.0,0.0,-0.6061,-0.0,-0.0081,-0.0,-0.0,-787.11444,0.0,-17245.09946,0.0
219.99999999999997,45.0,4.5,4.5,40.0,59.99999999999999,0.0,0.0,0.0,0.0,-0.0105,2445.27887,-0.0,-743.38586,0.0,-16501.7136,0.0
209.99999999999997,55.0,4.5,3.5,40.0,59.99999999999999,0.0,0.0,0.2076,0.0,-0.0126,-0.0,-0.0,-699.65728,0.0,-15802.05632,0.0
199.99999999999997,65.0,4.5,3.5,40.0,59.99999999999999,0.0,0.0,0.1971,0.0,-0.0146,-0.0,-0.0,-699.65728,0.0,-15102.39904,0.0
189.99999999999997,75.0,4.5,4.5,40.0,60.00000000000001,0.0,1.7127302501226343e-14,0.0,0.0,-0.0166,2073.15481,0.0,-799.60832,0.0,-14302.79072,0.0
177.1428571428571,87.85714285714285,4.5,3.5,40.0,59.99999999999999,0.0,3.9148120002803056e-14,-0.6108,-0.0,-0.0189,-0.0,-0.0,-899.55936,0.0,-13403.23136,0.0
164.28571428571425,100.71428571428571,4.5,3.5,40.0,59.99999999999999,0.0,3.9148120002803056e-14,-1.0,-0.0,-0.0211,2.28715,0.0,-899.55936,0.0,-12503.672,0.0
151.42857142857142,113.57142857142856,4.5,3.5,40.0,59.99999999999999,0.0,3.9148120002803056e-14,-1.0,-0.0,-0.0231,1617.90536,0.0,-899.55936,0.0,-11604.11264,0.0
138.57142857142856,126.4285714285714,4.5,3.5,40.0,59.99999999999999,0.0,3.9148120002803056e-14,-1.0,0.0,-0.025,900.76926,-0.0,-899.55936,0.0,-10704.55328,0.0
125.71428571428571,139.28571428571425,4.5,3.5,40.0,59.99999999999999,0.0,3.9148120002803056e-14,-0.8786,0.0,-0.0268,-0.0,-0.0,-899.55936,0.0,-9804.99392,0.0
112.85714285714285,152.1428571428571,4.5,3.5,40.0,59.99999999999999,0.0,3.9148120002803056e-14,-0.3983,0.0,-0.0284,-0.0,-0.0,-899.55936,0.0,-8905.43456,0.0
100.0,164.99999999999997,4.5,4.5,40.0,59.99999999999999,0.0,3.9148120002803056e-14,0.0,0.0,-0.0298,3012.81053,-0.0,-887.06548,0.0,-8018.36908,0.0
87.5,177.49999999999997,4.5,3.5,40.0,59.99999999999999,0.0,3.9148120002803056e-14,-0.3736,-0.0,-0.0311,-0.0,-0.0,-874.5716,0.0,-7143.79747,0.0
75.0,189.99999999999997,4.5,3.5,40.0,59.99999999999999,0.0,3.9148120002803056e-14,-0.8488,-0.0,-0.0323,-0.0,-0.0,-874.5716,0.0,-6269.22587,0.0
62.5,202.49999999999997,4.5,3.5,40.0,59.99999999999999,0.0,3.9148120002803056e-14,-1.0,-0.0,-0.0333,910.70111,0.0,-874.5716,0.0,-5394.65427,0.0
50.0,214.99999999999997,4.5,3.5,40.0,59.99999999999999,0.0,3.9148120002803056e-14,-1.0,-0.0,-0.0341,929.27972,0.0,-874.5716,0.0,-4520.08267,0.0
37.5,227.49999999999997,4.5,3.5,40.0,59.99999999999999,0.0,3.9148120002803056e-14,-1.0,0.0,-0.0348,681.53183,-0.0,-874.5716,0.0,-3645.51107,0.0
25.0,239.99999999999997,4.5,3.5,40.0,59.99999999999999,0.0,3.9148120002803056e-14,-1.0,0.0,-0.0354,747.79812,-0.0,-874.5716,0.0,-2770.93947,0.0
12.5,252.49999999999997,4.5,3.5,40.0,59.99999999999999,0.0,3.9148120002803056e-14,-1.0,0.0,-0.0358,730.36799,-0.0,-874.5716,0.0,-1896.36787,0.0
0.0,264.99999999999994,4.5,3.5,40.0,59.99999999999999,0.0,3.9148120002803056e-14,-1.0,0.0,-0.0362,367.5069,-0.0,-1896.36787,0.0,-1459.08207,0.0
