wob,incl,tp,fbit,dtft,ft
30.0,30.0,-0.0,-13164.3206,5.68,18346.973
30.0,30.0,0.5,-11913.9163,5.68,17161.8055
30.0,30.0,5.264,15.9903,5.68,5843.2305
30.0,30.0,5.2576,-0.2243,5.68,5858.711
