wob,incl,tp,fbit,dtft,ft
40.0,35.0,-0.0,-13684.0903,5.68,19232.1802
40.0,35.0,0.5,-12470.2098,5.68,18120.1486
40.0,35.0,5.6365,12.1277,5.68,6673.8317
40.0,35.0,5.6315,-0.0046,5.68,6684.9657
