wob,incl,tp,fbit,dtft,ft
20.0,40.0,-0.0,1073.842,22.5,64.4437
20.0,40.0,-0.5,942.6017,22.5,177.3323
20.0,40.0,-4.0911,0.1049,22.5,987.5766
