depth,dtb,radius,od,incl,hdng,x,y,dx,dy,dz,fx,fy,fz,friction,fn,fs
328.78,0.0,8.75,8.75,50.0,59.99999999999999,0.0,0.0,0.0,0.0,-0.0,-14698.47943,-0.00216,-87.98263,0.0,-29912.01737,0.0
327.34,1.4400000000000002,8.75,4.75,50.0,59.99999999999999,0.0,0.0,0.0162,0.0,-0.0003,-0.0,-0.0,-260.65386,0.0,-29651.36351,0.0
324.34,4.44,8.75,4.75,50.0,59.99999999999999,0.0,0.0,0.0208,0.0,-0.0011,-0.0,-0.0,-244.36539,0.0,-29406.99812,0.0
323.09999999999997,5.68,8.75,8.75,50.0,59.99999999999999,0.0,0.0,0.0,-0.0,-0.0014,21570.10668,0.00196,-305.27838,0.0,-29101.71974,0.0
319.06,9.72,8.75,4.75,50.0,59.99999999999999,0.0,0.0,-0.192,-0.0,-0.0023,-0.0,-0.0,-1488.48502,0.0,-27613.23473,0.0
300.335,28.445000000000004,8.75,4.75,50.0,59.99999999999999,0.0,0.0,-2.3515,-0.0,-0.0065,-0.0,-0.0,-2509.8016,0.0,-25103.43313,0.0
281.60999999999996,47.17000000000001,8.75,4.8125,50.0,59.99999999999999,0.0,0.0,-3.9375,-0.0,-0.0104,1178.31225,0.00048,-2180.98987,0.0,-22922.44326,0.0
268.065,60.715,8.75,4.8125,50.0,60.00000000000001,0.0,2.7647409647126566e-14,-3.9375,-0.0,-0.013,3213.04311,0.00216,-1852.17814,0.0,-21070.26511,0.0
254.51999999999998,74.26,8.75,4.8125,50.0,59.99999999999999,0.0,5.529481929425313e-14,-3.0774,-0.0,-0.0155,-0.0,-0.0,-1931.68515,0.0,-19138.57997,0.0
239.51499999999996,89.265,8.75,4.75,50.0,59.99999999999999,0.0,5.529481929425313e-14,-1.3497,-0.0,-0.018,-0.0,-0.0,-2011.19215,0.0,-17127.38782,0.0
224.51,104.27,8.75,4.75,50.0,59.99999999999999,0.0,5.529481929425313e-14,-0.026,-0.0,-0.0202,-0.0,-0.0,-1113.22781,0.0,-16014.16001,0.0
222.63999999999996,106.14,8.75,8.75,50.0,59.99999999999999,0.0,5.529481929425313e-14,0.0,0.0,-0.0205,12175.02027,-0.00631,-322.31962,0.0,-15691.84039,0.0
218.90999999999997,109.87,8.75,4.75,50.0,59.99999999999999,0.0,5.529481929425313e-14,-0.0837,0.0,-0.021,-0.0,-0.0,-1048.96834,0.0,-14642.87205,0.0
204.54499999999996,124.23500000000001,8.75,4.75,50.0,59.99999999999999,0.0,5.529481929425313e-14,-1.5083,0.0,-0.023,-0.0,-0.0,-1668.5609,0.0,-12974.31115,0.0
190.17999999999995,138.60000000000002,8.75,4.75,50.0,59.99999999999999,0.0,5.529481929425313e-14,-3.3478,0.0,-0.0247,-0.0,-0.0,-1056.29204,0.0,-11918.01911,0.0
185.95999999999995,142.82000000000002,8.75,4.5625,50.0,59.99999999999999,0.0,5.529481929425313e-14,-3.7844,0.0,-0.0252,-0.0,-0.0,-761.66617,0.0,-11156.35295,0.0
171.96999999999994,156.81000000000003,8.75,3.9375,50.0,59.99999999999999,0.0,5.529481929425313e-14,-4.6483,0.0,-0.0268,-0.0,-0.0,-1079.30917,0.0,-10077.04378,0.0
157.97999999999993,170.80000000000004,8.75,3.9375,50.0,59.99999999999999,0.0,5.529481929425313e-14,-4.8125,0.0,-0.0282,3332.62076,-0.00395,-1050.08382,0.0,-9026.95996,0.0
143.25499999999997,185.525,8.75,3.7815,50.0,59.99999999999999,0.0,5.529481929425313e-14,-4.9685,0.0,-0.0295,92.87244,-4.0e-5,-1020.85848,0.0,-8006.10148,0.0
128.52999999999997,200.25,8.75,3.8125,50.0,59.99999999999999,0.0,5.529481929425313e-14,-4.9375,0.0,-0.0307,2028.21828,-0.00016,-873.98718,0.0,-7132.1143,0.0
118.23999999999997,210.54,8.75,3.8125,50.0,59.99999999999999,0.0,5.529481929425313e-14,-4.9375,-0.0,-0.0314,472.79058,3.0e-5,-727.11587,0.0,-6404.99843,0.0
107.94999999999997,220.83,8.75,3.8125,50.0,59.99999999999999,0.0,5.529481929425313e-14,-4.8759,-0.0,-0.0321,-0.0,-0.0,-727.11587,0.0,-5677.88255,0.0
