depth,dtb,radius,od,incl,hdng,x,y,dx,dy,dz,fx,fy,fz,friction,fn,fs
399.48999999999984,0.0,8.75,6.25,29.999999999999996,59.99999999999999,0.0,0.0,-2.2984,0.0024,-0.0,-0.0,-0.0,-55.37114,0.0,-19944.62886,0.0
398.48999999999984,1.0,8.75,3.9375,30.038915615319052,59.99999999999999,-0.004075233628208164,0.0,-2.4206,0.0023,-0.0002,-0.0,-0.0,-151.45809,0.0,-19793.17078,0.0
396.6399999999999,2.85,8.75,6.125,30.110909503659297,59.99999999999999,-0.033101077433202314,0.0,-2.625,0.0022,-0.0006,14.94242,-0.01248,-298.49886,0.0,-19494.67191,0.0
392.73999999999984,6.75,8.75,4.0,30.262680403403603,59.99999999999999,-0.1856775571211646,0.0,-2.9635,0.0019,-0.0013,-0.0,-0.0,-1085.83637,0.0,-18408.83554,0.0
378.48499999999984,21.005,8.749999999999998,4.0,30.817422499776697,59.99999999999999,-1.7980098124924908,0.0,-3.2491,0.001,-0.004,-0.0,-0.0,-1757.30889,0.0,-16651.52666,0.0
364.22999999999985,35.26,8.75,4.0,31.372164596149787,59.99999999999999,-5.066382984369549,0.0,-2.6855,0.0003,-0.0064,-0.0,-0.0,-979.24048,0.0,-15672.28618,0.0
362.45999999999987,37.03,8.75,6.125,31.44104523526451,59.99999999999999,-5.587770208627985,0.0,-2.625,0.0002,-0.0067,3341.30246,-0.26432,-331.19515,0.0,-15341.09103,0.0
358.67999999999984,40.81,8.75,4.4375,31.588146261170525,59.99999999999999,-6.786707767182824,0.0,-2.5362,0.0001,-0.0073,-0.0,-0.0,-414.1569,0.0,-14926.93413,0.0
356.17999999999984,43.31,8.75,4.4375,31.685435299468157,59.99999999999999,-7.643612851815194,0.0,-2.5024,0.0,-0.0077,-0.0,-0.0,-845.01249,0.0,-14081.92164,0.0
343.67999999999984,55.81,8.75,4.4375,32.17188049095631,59.99999999999999,-12.69187393088985,0.0,-2.5029,-0.0002,-0.0095,-0.0,-0.0,-1305.61246,0.0,-12776.30918,0.0
331.17999999999984,68.31,8.75,6.125,32.65832568244446,59.99999999999999,-19.012726876992993,0.0,-2.625,-0.0002,-0.0111,1790.85042,0.13244,-1388.45526,0.0,-11387.85392,0.0
316.9499999999999,82.54,8.75,4.4375,33.21209488843458,59.99999999999999,-27.75677936525723,0.0,-2.8236,-0.0001,-0.0127,-0.0,-0.0,-917.14877,0.0,-10470.70515,0.0
314.48999999999984,85.0,8.75,4.4375,33.30782730211945,59.99999999999999,-29.435474342008373,0.0,-2.835,-0.0001,-0.0129,-0.0,-0.0,-1153.07438,0.0,-9317.63077,0.0
299.64999999999986,99.83999999999999,8.75,4.1565,33.88533503345418,59.99999999999999,-40.60660499589818,0.0,-2.6845,-0.0,-0.0142,-0.0,-0.0,-1928.38634,0.0,-7389.24443,0.0
284.8099999999999,114.67999999999999,8.75,4.1565,34.462842764788924,59.99999999999999,-53.56854425005775,0.0,-2.5846,0.0,-0.0153,-0.0,-0.0,-1041.23671,0.0,-6348.00772,0.0
283.35999999999984,116.13,8.75,6.125,34.51927040700155,59.99999999999999,-54.931024870435834,0.0,-2.625,0.0,-0.0154,4547.39685,-0.04581,-299.67348,0.0,-6048.33424,0.0
279.60999999999984,119.88,8.75,4.1565,34.665203964448,59.99999999999999,-58.53389917091058,0.0,-2.7939,0.0,-0.0156,-0.0,-0.0,-1169.09033,0.0,-4879.24391,0.0
