wob,incl,tp,fbit,dtft,ft
30.0,30.0,-0.0,848.4643,45.0,1936.6349
30.0,30.0,-0.5,742.2387,45.0,1943.0855
30.0,30.0,-3.9937,-211.1763,22.5,585.1199
30.0,30.0,-3.2199,5.8415,22.5,439.302
30.0,30.0,-3.2407,-0.0002,22.5,443.2271
