wob,incl,tp,fbit,dtft,ft
20.0,35.0,-0.0,980.8158,45.0,2216.5189
20.0,35.0,-0.5,882.5088,22.5,24.2134
20.0,35.0,-4.9885,-294.9999,22.5,1042.7205
20.0,35.0,-3.864,-0.0495,22.5,787.6314
